team,final_elo
Guinea,1513.380553937252
Zambia,1511.9567657764333
Tahiti,1510.1367460031724
Elba Island,1510.0923023014548
Quebec,1508.3161466044487
Donetsk PR,1508.0376692654554
Crimea,1507.025112309592
Felvidék,1505.2964143203103
Franconia,1504.1983382372139
Trinidad and Tobago,1503.5234700046076
Central Spain,1501.2100448127965
Mapuche,1500.6471999915343
Matabeleland,1499.65146983766
Indonesia,1498.3349992824267
Saugeais,1498.1167717877006
Délvidék,1496.5137838006358
United Koreans in Japan,1496.5127698244685
Sealand,1494.160416802003
Kuwait,1493.7707879393613
Guadeloupe,1493.3473589673508
Gambia,1492.6852203782335
Uganda,1490.60187593298
Madrid,1489.692961883987
North Korea,1489.0516446104925
Kazakhstan,1488.8847360851728
Åland Islands,1486.1083446465823
Cilento,1485.860332599924
Luhansk PR,1485.4302888057955
Western Armenia,1484.8349487313214
Ryūkyū,1484.6621364798866
Yoruba Nation,1484.3660924273775
Somaliland,1484.0977116477518
Seborga,1484.0609713194694
Luxembourg,1481.0589374033054
West Papua,1480.2487756348291
Republic of St. Pauli,1480.0549562723882
Shetland,1479.8738165666182
Madagascar,1479.604387948724
Mozambique,1479.3767983704788
East Turkestan,1479.3133985739855
South Ossetia,1479.0015357798923
Hmong,1478.905663725288
Gozo,1478.4910873183067
Niue,1476.4222369617098
El Salvador,1475.1131865858301
South Yemen,1474.8567282545612
Kenya,1473.79761947792
Székely Land,1473.1536815904424
Kabylia,1472.418089086291
Chechnya,1471.366848819363
Aymara,1470.67252485988
Papua New Guinea,1469.2927515443328
Togo,1468.786213839981
Romani people,1467.7064054350008
Monaco,1466.1436981184702
Rwanda,1465.903462772185
Mauritania,1464.3808262634468
North Vietnam,1463.495725442656
Sápmi,1461.9126538013902
Ticino,1461.2999603043172
Equatorial Guinea,1460.2047690421198
Nicaragua,1459.95332299303
Palau,1458.923428705001
Vanuatu,1458.8009764138094
Comoros,1458.2402456285204
Dominican Republic,1457.9518353765054
Găgăuzia,1456.4445942948585
Guyana,1455.8455998006616
Manchukuo,1454.390847645899
Zimbabwe,1453.0144697129717
Armenia,1452.9774013050128
Western Isles,1452.6079308187323
Western Sahara,1452.3887227387497
Saarland,1451.6586598818078
Tajikistan,1451.19306532623
Kyrgyzstan,1451.158819571179
Estonia,1449.759150163186
Martinique,1449.6174451804839
Provence,1449.2540277873886
Sudan,1448.619933366164
Sierra Leone,1448.2725639314206
Greenland,1448.0895325662018
Marshall Islands,1447.2026643283189
Two Sicilies,1445.6210727066848
Sark,1441.2572512230627
Gotland,1438.3692372736016
Fiji,1434.164689423003
Mayotte,1432.3239758270445
Vatican City,1432.2360547196886
Niger,1431.83983178062
Barawa,1431.6761060866745
Lebanon,1431.4554788974058
Orkney,1431.1192706368565
Ambazonia,1429.4138061131644
Saint Barthélemy,1424.948874303847
Azerbaijan,1424.2100942776326
Cyprus,1424.0814905413426
Botswana,1423.1481292400738
Vietnam Republic,1420.134711101966
Micronesia,1418.3471792441162
Raetia,1414.4824493741114
Malta,1414.391284512236
Western Australia,1414.3037874835431
Ethiopia,1413.5833150595197
Faroe Islands,1413.1994943204581
Malawi,1411.9326701087339
Namibia,1410.0416919126026
French Guiana,1408.7268187605905
Darfur,1406.9814083187628
Yemen DPR,1404.1797316709474
Burundi,1399.3531315252467
Saint Pierre and Miquelon,1399.3425166603527
Cuba,1398.817523494774
Saint Helena,1398.5406062478253
Tanzania,1398.1853202893603
Solomon Islands,1397.8724588239886
Turkmenistan,1396.9103564321654
Chagos Islands,1392.3180287296207
Hitra,1389.454228921051
Lesotho,1386.3308001319713
Saint Vincent and the Grenadines,1385.5278435716414
Latvia,1382.658131906462
Bermuda,1381.0396571659949
Liberia,1378.3634458948582
Lithuania,1377.7159400931857
Central African Republic,1377.3944761926227
Hong Kong,1375.9127840587398
Guinea-Bissau,1374.0345330667278
Puerto Rico,1372.999319105594
Kiribati,1368.6371790995368
Philippines,1367.176179754178
Moldova,1364.0718158001514
Saare County,1362.5855401904612
Singapore,1358.3507662402685
Congo,1357.4024133557787
Wallis Islands and Futuna,1353.5503738176287
Sint Maarten,1342.0055462121302
Saint Kitts and Nevis,1337.805204002881
Eswatini,1327.330326322322
Belize,1326.7247625008158
Samoa,1323.9652453079682
Grenada,1321.9852291260274
Yemen,1317.9943292909475
Tibet,1317.7740344530491
Tuvalu,1314.007825932849
India,1303.7517244164917
Saint Martin,1301.750489101114
Saint Lucia,1299.2660420977277
Falkland Islands,1299.263196199038
South Sudan,1297.1685276299747
Montserrat,1295.7584704090232
Chad,1282.6744389432176
Frøya,1280.8575396674228
Cook Islands,1265.7893141198535
Gibraltar,1255.8947485093167
Mauritius,1254.5241602133092
Eritrea,1253.2106495568978
Aruba,1247.6237033443335
Bonaire,1243.8327957520405
Myanmar,1239.023925673924
Afghanistan,1234.3809047240782
Antigua and Barbuda,1233.798100133508
Dominica,1233.4165073186546
Bangladesh,1222.680273102838
São Tomé and Príncipe,1221.889681303329
Andorra,1209.4055167794581
Barbados,1207.5432077197518
Turks and Caicos Islands,1203.8626715558376
Tonga,1202.8063002553788
Nepal,1199.548192288354
Taiwan,1194.4608402414335
Cayman Islands,1176.569882210659
Northern Mariana Islands,1155.406705999878
Cambodia,1154.04859142466
Alderney,1149.995677339416
British Virgin Islands,1146.1671938853528
Pakistan,1137.3727493197923
Djibouti,1135.3507136640583
Somalia,1126.6126382251914
United States Virgin Islands,1124.784165697501
American Samoa,1124.6990284807973
Bahamas,1121.81759666867
Sri Lanka,1118.0279085624586
Maldives,1111.42499104897
Liechtenstein,1107.7120996292995
Mongolia,1101.3364789346404
Guam,1099.1060025324484
Seychelles,1090.778987425857
Laos,1076.6782236409258
Anguilla,1060.6632793408544
Brunei,1046.3202065581954
San Marino,1021.8030882136202
Timor-Leste,1004.4298968892599
Macau,995.091309219133
Bhutan,978.0965252844476
